S.No,Name,Address,Latitude,Longitude,Website,Type,Stream,Branch,Course,District,Code,Zone,State
4077,Sultana Abdulla Rowther College For Women,"Pannankattangudi -[Via], Koothanallur.",10.7,79.52,,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Tiruvarur,TR,TN Central,Tamil Nadu
4078,Sun Arts & Science College,"Tiruvannamalai,Vettavalam Road, Keeranoor, Rajapalayam (V&P), Tiruvannamalai, Tamil Nadu 606755",12.2,79.13,http://suncolleges.ac.in/,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Tiruvannamalai,TV,TN Central,Tamil Nadu
4079,Sun College of Engineering and Technology,"Sun Nagar, Erachakulam, Kanyakumari(Dt.),Pin629902",8.23,77.41,www.sunedu.ac.in,Self Finance,Engineering,Civil,Civil Engineering,Kanniyakumari,KK,TN South,Tamil Nadu
4080,Sun College of Engineering and Technology,"Sun Nagar, Erachakulam, Kanyakumari(Dt.),Pin629902",8.23,77.41,www.sunedu.ac.in,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Kanniyakumari,KK,TN South,Tamil Nadu
4081,Sun College of Engineering and Technology,"Sun Nagar, Erachakulam, Kanyakumari(Dt.),Pin629902",8.23,77.41,www.sunedu.ac.in,Self Finance,Engineering,Computer Science,Information Technology,Kanniyakumari,KK,TN South,Tamil Nadu
4082,Sun College of Engineering and Technology,"Sun Nagar, Erachakulam, Kanyakumari(Dt.),Pin629902",8.23,77.41,www.sunedu.ac.in,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Kanniyakumari,KK,TN South,Tamil Nadu
4083,Sun College of Engineering and Technology,"Sun Nagar, Erachakulam, Kanyakumari(Dt.),Pin629902",8.23,77.41,www.sunedu.ac.in,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Kanniyakumari,KK,TN South,Tamil Nadu
4084,Sun College of Engineering and Technology,"Sun Nagar, Erachakulam, Kanyakumari(Dt.),Pin629902",8.23,77.41,www.sunedu.ac.in,Self Finance,Engineering,Mechanical,Mechanical Engineering,Kanniyakumari,KK,TN South,Tamil Nadu
4085,SUN INSTITUTE OF POLYTECHNIC,"Kanyakumari, Tamil Nadu 629852, India",8.23,77.42,http://suninst.com/,Self Finance,Polytechnic College,Polytechnic College,,Kanniyakumari,KK,TN South,Tamil Nadu
4086,SUN INSTITUTE OF TECHNOLOGY,"Amritagiri, Erachakulam Post, Eracha Kulam, Tamil Nadu 629901, India",8.23,77.41,suninst.com/,Self Finance,Polytechnic College,Polytechnic College,,Kanniyakumari,KK,TN South,Tamil Nadu
